,region,candidate_name,votes,rank
4,ARMM,"ROBREDO, LENI DAANG MATUWID (LP)",450996,1.0
9,CAR,"MARCOS, BONGBONG (IND)",446459,1.0
15,NCR,"MARCOS, BONGBONG (IND)",2178880,1.0
21,OAV,"MARCOS, BONGBONG (IND)",60753,1.0
27,REGION I,"MARCOS, BONGBONG (IND)",1764750,1.0
33,REGION II,"MARCOS, BONGBONG (IND)",1047037,1.0
39,REGION III,"MARCOS, BONGBONG (IND)",2136431,1.0
46,REGION IV-A,"ROBREDO, LENI DAANG MATUWID (LP)",1972819,1.0
52,REGION IV-B,"ROBREDO, LENI DAANG MATUWID (LP)",490708,1.0
58,REGION IX,"ROBREDO, LENI DAANG MATUWID (LP)",472479,1.0
64,REGION V,"ROBREDO, LENI DAANG MATUWID (LP)",1499832,1.0
70,REGION VI,"ROBREDO, LENI DAANG MATUWID (LP)",1980752,1.0
76,REGION VII,"ROBREDO, LENI DAANG MATUWID (LP)",1360363,1.0
81,REGION VIII,"MARCOS, BONGBONG (IND)",723402,1.0
88,REGION X,"ROBREDO, LENI DAANG MATUWID (LP)",693718,1.0
90,REGION XI,"CAYETANO, ALAN PETER (IND)",1074658,1.0
99,REGION XII,"MARCOS, BONGBONG (IND)",512071,1.0
106,REGION XIII,"ROBREDO, LENI DAANG MATUWID (LP)",400591,1.0
